([#8:27]-[C:28]-[C:29]-[CH2;D2;+0:30]-[O;D1;H1:31].[C:18]-[C:17]-[C:15](-[N;D1;H2:16])-[C@@H;D3;+0:13](-[O;D1;H1:14])-[C:12]-[C@@H;D3;+0:11](-[C:36](-[C;D1;H3:37])-[C;D1;H3:38])-[C:9](=[O;D1;H0:10])-[#7:8]-[C:7]-[C:4]-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])>>([#8:27]-[C:28]-[C:29]-[C;H0;D3;+0:30](-[O;D1;H1:31])=[O;H0;D1;+0:39].[C:18]-[C:17]-[C:15](-[N;D1;H2:16])-[C@@H;D3;+0:13](-[O;D1;H1:14])-[C:12]-[C@@H;D3;+0:11](-[C:36](-[C;D1;H3:37])-[C;D1;H3:38])-[C:9](=[O;D1;H0:10])-[#7:8]-[C:7]-[C:4]-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])	1.5	chemblRule12
([#8:27]-[C:28]-[C:29]-[CH2;D2;+0:30]-[O;D1;H1:31].[C:18]-[C:17]-[C:15](-[N;D1;H2:16])-[C@@H;D3;+0:13](-[O;D1;H1:14])-[C:12]-[C@@H;D3;+0:11](-[C:36](-[C;D1;H3:37])-[C;D1;H3:38])-[C:9](=[O;D1;H0:10])-[#7:8]-[C:7]-[C:4]-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])>>([#8:27]-[C:28]-[C:29]-[C;H0;D3;+0:30](-[O;D1;H1:31])=[O;H0;D1;+0:39].[C:18]-[C:17]-[C:15](-[N;D1;H2:16])-[C@@H;D3;+0:13](-[O;D1;H1:14])-[C:12]-[C@@H;D3;+0:11](-[C:36](-[C;D1;H3:37])-[C;D1;H3:38])-[C:9](=[O;D1;H0:10])-[#7:8]-[C:7]-[C:4]-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])	1.5	chemblRule13
([#8:27]-[C:28]-[C:29]-[CH2;D2;+0:30]-[O;D1;H1:31].[C:18]-[C:17]-[C:15](-[N;D1;H2:16])-[C@@H;D3;+0:13](-[O;D1;H1:14])-[C:12]-[C@@H;D3;+0:11](-[C:36](-[C;D1;H3:37])-[C;D1;H3:38])-[C:9](=[O;D1;H0:10])-[#7:8]-[C:7]-[C:4]-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])>>([#8:27]-[C:28]-[C:29]-[C;H0;D3;+0:30](-[O;D1;H1:31])=[O;H0;D1;+0:39].[C:18]-[C:17]-[C:15](-[N;D1;H2:16])-[C@@H;D3;+0:13](-[O;D1;H1:14])-[C:12]-[C@@H;D3;+0:11](-[C:36](-[C;D1;H3:37])-[C;D1;H3:38])-[C:9](=[O;D1;H0:10])-[#7:8]-[C:7]-[C:4]-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])	1.5	chemblRule14
([#8:27]-[C:28]-[C:29]-[CH2;D2;+0:30]-[O;H0;D2;+0:31]-[CH3;D1;+0:39].[C:18]-[C:17]-[C:15](-[N;D1;H2:16])-[C@@H;D3;+0:13](-[O;D1;H1:14])-[C:12]-[C@@H;D3;+0:11](-[C:36](-[C;D1;H3:37])-[C;D1;H3:38])-[C:9](=[O;D1;H0:10])-[#7:8]-[C:7]-[C:4]-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])>>([#8:27]-[C:28]-[C:29]-[C;H0;D3;+0:30](=[O;H0;D1;+0:40])-[OH;D1;+0:31].[C:18]-[C:17]-[C:15](-[N;D1;H2:16])-[C@@H;D3;+0:13](-[O;D1;H1:14])-[C:12]-[C@@H;D3;+0:11](-[C:36](-[C;D1;H3:37])-[C;D1;H3:38])-[C:9](=[O;D1;H0:10])-[#7:8]-[C:7]-[C:4]-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])	1.5	chemblRule15
([#8:26]-[c:25](:[c:32]):[c:23](-[OH;D1;+0:24]):[c:22]:[c:21])>>([#8:26]-[c:25](:[c:32]):[c:23](-[O;H0;D2;+0:24]-[C@@H;D3;+0:39]1-[O;H0;D2;+0:40]-[C@H;D3;+0:41](-[CH2;D2;+0:42]-[OH;D1;+0:43])-[C@@H;D3;+0:44](-[OH;D1;+0:45])-[C@H;D3;+0:46](-[OH;D1;+0:47])-[C@H;D3;+0:48]-1-[OH;D1;+0:49]):[c:22]:[c:21])	1.5	chemblRule16
([#8:24]-[c:23](:[c:22]):[c:26](-[OH;D1;+0:27]):[c:28]:[c:20])>>([#8:24]-[c:23](:[c:22]):[c:26](-[O;H0;D2;+0:27]-[C@@H;D3;+0:35]1-[O;H0;D2;+0:36]-[C@H;D3;+0:37](-[CH2;D2;+0:38]-[OH;D1;+0:39])-[C@@H;D3;+0:40](-[OH;D1;+0:41])-[C@H;D3;+0:42](-[OH;D1;+0:43])-[C@H;D3;+0:44]-1-[OH;D1;+0:45]):[c:28]:[c:20])	1.5	chemblRule17
([#8:24]-[c:23](:[c:22]):[c:26](-[OH;D1;+0:27]):[c:28]:[c:20])>>([#8:24]-[c:23](:[c:22]):[c:26](-[O;H0;D2;+0:27]-[C@@H;D3;+0:35]1-[O;H0;D2;+0:36]-[C@H;D3;+0:37](-[CH2;D2;+0:38]-[OH;D1;+0:39])-[C@@H;D3;+0:40](-[OH;D1;+0:41])-[C@H;D3;+0:42](-[OH;D1;+0:43])-[C@H;D3;+0:44]-1-[OH;D1;+0:45]):[c:28]:[c:20])	1.5	chemblRule18
([#8:8]-[c:7](:[c:6]):[c:2](-[O;H0;D2;+0:1]-[CH2;D2;+0:39]-[CH2;D2;+0:38]-[C;H0;D3;+0:36](=[O;H0;D1;+0:35])-[OH;D1;+0:37]):[c:3]:[c:4])>>([#8:8]-[c:7](:[c:6]):[c:2](-[OH;D1;+0:1]):[c:3]:[c:4])	1.5	chemblRule19
([#8:24]-[c:23](:[c:22]):[c:26](-[O;H0;D2;+0:27]-[CH2;D2;+0:35]-[CH2;D2;+0:36]-[CH2;D2;+0:37]-[OH;D1;+0:38]):[c:28]:[c:20])>>([#8:24]-[c:23](:[c:22]):[c:26](-[OH;D1;+0:27]):[c:28]:[c:20])	1.5	chemblRule20
([C;D1;H3:27]-[C:26](-[C;D1;H3:28])-[C@@H;D3;+0:10](-[C:11]-[c:12](:[c:13]):[c:25])-[C:9]-[C:7](-[N;D1;H2:8])-[C:5](-[OH;D1;+0:6])-[C:4]-[C@@H;D3;+0:3](-[C:29](-[C;D1;H3:30])-[C;D1;H3:31])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:39]-[CH2;D2;+0:38]-[C;H0;D4;+0:35](-[CH3;D1;+0:36])(-[CH3;D1;+0:37])-[C;H0;D3;+0:33](-[NH2;D1;+0:34])=[O;H0;D1;+0:32])>>([C;D1;H3:27]-[C:26](-[C;D1;H3:28])-[C@@H;D3;+0:10](-[C:11]-[c:12](:[c:13]):[c:25])-[C:9]-[C:7](-[N;D1;H2:8])-[C:5]1-[C:4]-[C@H;D3;+0:3](-[C:29](-[C;D1;H3:30])-[C;D1;H3:31])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;H0;D2;+0:6]-1)	1.5	chemblRule21
([C;D1;H3:27]-[C:26](-[C;D1;H3:28])-[C@@H;D3;+0:10](-[C:11]-[c:12](:[c:13]):[c:25])-[C:9]-[C:7](-[N;D1;H2:8])-[C:5](-[OH;D1;+0:6])-[C:4]-[C@@H;D3;+0:3](-[C:29](-[C;D1;H3:30])-[C;D1;H3:31])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:39]-[CH2;D2;+0:38]-[C;H0;D4;+0:35](-[CH3;D1;+0:36])(-[CH3;D1;+0:37])-[C;H0;D3;+0:33](-[NH2;D1;+0:34])=[O;H0;D1;+0:32])>>([C;D1;H3:27]-[C:26](-[C;D1;H3:28])-[C@@H;D3;+0:10](-[C:11]-[c:12](:[c:13]):[c:25])-[C:9]-[C:7](-[N;D1;H2:8])-[C:5]1-[C:4]-[C@H;D3;+0:3](-[C:29](-[C;D1;H3:30])-[C;D1;H3:31])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[O;H0;D2;+0:6]-1)	1.5	chemblRule22
([C;D1;H3:35]-[C:34](-[C;D1;H3:36])-[C@H;D3;+0:18](-[C:17]-[C:15](-[NH2;D1;+0:16])-[C:13](-[O;D1;H1:14])-[C:12]-[C@@H;D3;+0:11](-[C:37](-[C;D1;H3:38])-[C;D1;H3:39])-[C:9](=[O;D1;H0:10])-[#7:8]-[C:7]-[C:4]-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])-[C:19]-[c:20](:[c:21]):[c:33])>>([C;D1;H3:35]-[C:34](-[C;D1;H3:36])-[C@H;D3;+0:18](-[C:17]-[C:15](-[NH;D2;+0:16]-[C;H0;D3;+0:41](-[CH3;D1;+0:42])=[O;H0;D1;+0:40])-[C:13](-[O;D1;H1:14])-[C:12]-[C@@H;D3;+0:11](-[C:37](-[C;D1;H3:38])-[C;D1;H3:39])-[C:9](=[O;D1;H0:10])-[#7:8]-[C:7]-[C:4]-[C:2](-[N;D1;H2:3])=[O;D1;H0:1])-[C:19]-[c:20](:[c:21]):[c:33])	1.5	chemblRule23
([C:28]-[C:29]-[C:30]-[O;H0;D2;+0:31]-[CH3;D1;+0:39])>>([C:28]-[C:29]-[C:30]-[OH;D1;+0:31])	1.5	chemblRule28
([C:28]-[C:29]-[C:30]-[O;H0;D2;+0:31]-[CH3;D1;+0:39])>>([C:28]-[C:29]-[C:30]-[OH;D1;+0:31])	1.5	chemblRule29
([C:28]-[C:29]-[C:30]-[O;H0;D2;+0:31]-[CH3;D1;+0:39])>>([C:28]-[C:29]-[C:30]-[OH;D1;+0:31])	1.5	chemblRule30
([#8:26]-[c:25](:[c:32]):[c:23](-[O;H0;D2;+0:24]-[CH3;D1;+0:39]):[c:22]:[c:21])>>([#8:26]-[c:25](:[c:32]):[c:23](-[OH;D1;+0:24]):[c:22]:[c:21])	1.5	chemblRule31
([#8:26]-[c:25](:[c:32]):[c:23](-[O;H0;D2;+0:24]-[CH3;D1;+0:39]):[c:22]:[c:21])>>([#8:26]-[c:25](:[c:32]):[c:23](-[OH;D1;+0:24]):[c:22]:[c:21])	1.5	chemblRule32
([#8:8]-[c:7](:[c:6]):[c:2](-[O;H0;D2;+0:1]-[CH2;D2;+0:39]-[CH2;D2;+0:38]-[C;H0;D3;+0:36](=[O;H0;D1;+0:35])-[OH;D1;+0:37]):[c:3]:[c:4])>>([#8:8]-[c:7](:[c:6]):[c:2](-[OH;D1;+0:1]):[c:3]:[c:4])	1.5	chemblRule33
([C:13]-[C:12]1-[C:11](-[C:20](-[C:19])-[C:15]-[C:16]=[O;D1;H0:17])-[CH2;D2;+0:10]-[C;H0;D3;+0:8](=[CH2;D1;+0:9])-[C:6]2=[C:7]-[C:2](=[O;D1;H0:1])-[C:3]=[C:4]-[C:5]-1-2-[C;D1;H3:22])>>([C:13]-[C:12]1-[C:11](-[C:20](-[C:19])-[C:15]-[C:16]=[O;D1;H0:17])-[CH;D2;+0:10]=[C;H0;D3;+0:8](-[CH2;D2;+0:9]-[OH;D1;+0:23])-[C:6]2=[C:7]-[C:2](=[O;D1;H0:1])-[C:3]=[C:4]-[C:5]-1-2-[C;D1;H3:22])	1.5	chemblRule34
([C;D1;H2:9]=[C:8]-[C:10]-[C:11]1-[C:12]-[C:13]-[C:14]-[C@@;H0;D4;+0:15]2(-[C;D1;H3:21])-[C:20]-1-[C:19]-[C:18]-[C;H0;D3;+0:16]-2=[O;H0;D1;+0:17])>>([C;D1;H2:9]=[C:8]-[C:10]-[C:11]1-[C:12]-[C:13]-[C:14]-[C@@;H0;D4;+0:15]2(-[C;D1;H3:21])-[C:20]-1-[C:19]-[C:18]-[CH;D3;+0:16]-2-[OH;D1;+0:17])	1.5	chemblRule35
([C:15]-[C:17]-[C:18]1=[C:25](-[#7:26]-[CH2;D2;+0:27]-[C:28]-[#7:29](-[C;D1;H3:30])-[C;D1;H3:31])-[C:23](=[O;D1;H0:24])-[C:22]=[C:21](-[#7:32]-[C:33]=[O;D1;H0:34])-[C:19]-1=[O;D1;H0:20])>>([C:15]-[C:17]-[C:18]1=[C:25](-[#7:26]-[CH;D3;+0:27](-[OH;D1;+0:45])-[C:28]-[#7:29](-[C;D1;H3:30])-[C;D1;H3:31])-[C:23](=[O;D1;H0:24])-[C:22]=[C:21](-[#7:32]-[C:33]=[O;D1;H0:34])-[C:19]-1=[O;D1;H0:20])	1.5	chemblRule36
([#8:40]-[C:39](/[C:38]=[C:37]\[C:36]=[C:35](\[C:33])-[C;D1;H3:42])-[C:4](-[#8:3]-[C:2](-[N;D1;H2:44])=[O;D1;H0:1])/[C:5](-[CH3;D1;+0:43])=[C:6]/[C:7](-[C;D1;H3:8])-[C:9](-[C:11])-[O;D1;H1:10])>>([#8:40]-[C:39](/[C:38]=[C:37]\[C:36]=[C:35](\[C:33])-[C;D1;H3:42])-[C:4](-[#8:3]-[C:2](-[N;D1;H2:44])=[O;D1;H0:1])/[C:5](=[C:6]/[C:7](-[C;D1;H3:8])-[C:9](-[C:11])-[O;D1;H1:10])-[CH2;D2;+0:43]-[OH;D1;+0:45])	1.5	chemblRule37
([C:14]-[C:13]-[C:11](-[O;H0;D2;+0:12]-[CH3;D1;+0:44])-[C:9](-[O;D1;H1:10])-[C:7]/[C:6]=[C:5])>>([C:14]-[C:13]-[C:11](-[OH;D1;+0:12])-[C:9](-[O;D1;H1:10])-[C:7]/[C:6]=[C:5])	1.5	chemblRule38
([C:22]=[C:21]-[#7:32]-[C:33](=[O;D1;H0:34])/[C:35](-[C;D1;H3:41])=[C:36]/[C:37]=[C:38]\[C:39](-[O;H0;D2;+0:40]-[CH3;D1;+0:44])-[C:4](-[#8:3]-[C:2]=[O;D1;H0:1])/[C:5](-[C;D1;H3:42])=[C:6]/[C:7])>>([C:22]=[C:21]-[#7:32]-[C:33](=[O;D1;H0:34])/[C:35](-[C;D1;H3:41])=[C:36]/[C:37]=[C:38]\[C:39](-[OH;D1;+0:40])-[C:4](-[#8:3]-[C:2]=[O;D1;H0:1])/[C:5](-[C;D1;H3:42])=[C:6]/[C:7])	1.5	chemblRule39
([C:15]-[C:17]-[C:18]1=[C:25](-[NH;D2;+0:26]-[CH;D3;+0:27](-[OH;D1;+0:45])-[C:28]-[#7:29](-[C;D1;H3:30])-[C;D1;H3:31])-[C:23](=[O;D1;H0:24])-[C:22]=[C:21](-[#7:32]-[C:33]=[O;D1;H0:34])-[C:19]-1=[O;D1;H0:20])>>([C:15]-[C:17]-[C:18]1=[C:25](/[N;H0;D2;+0:26]=[CH;D2;+0:27]/[C:28]-[#7:29](-[C;D1;H3:30])-[C;D1;H3:31])-[C:23](=[O;D1;H0:24])-[C:22]=[C:21](-[#7:32]-[C:33]=[O;D1;H0:34])-[C:19]-1=[O;D1;H0:20])	1.5	chemblRule40
([#7:26]-[C:25]1=[C:18](-[C:17]-[C:15](-[CH3;D1;+0:16])-[C:14]-[C:11]-[C:9](-[O;D1;H1:10])-[C:7](-[CH3;D1;+0:8])/[C:6]=[C:5](\[C;D1;H3:44])-[C:4](-[#8:3]-[C:2]=[O;D1;H0:1])-[C:40]/[C:39]=[C:38])-[C:19](=[O;D1;H0:20])-[C:21]=[C:22]-[C:23]-1=[O;D1;H0:24])>>([#7:26]-[C:25]1=[C:18](-[C:17]-[C:15](-[C:14]-[C:11]-[C:9](-[O;D1;H1:10])-[C:7](/[C:6]=[C:5](\[C;D1;H3:44])-[C:4](-[#8:3]-[C:2]=[O;D1;H0:1])-[C:40]/[C:39]=[C:38])-[CH2;D2;+0:8]-[OH;D1;+0:46])-[CH2;D2;+0:16]-[OH;D1;+0:47])-[C:19](=[O;D1;H0:20])-[C:21]=[C:22]-[C:23]-1=[O;D1;H0:24])	1.5	chemblRule41
([N;D1;H2:3]-[C:2](=[O;D1;H0:1])-[c:4]1:[c:5]:[n;H0;D2;+0:6]:[c:7]:[c:8]:[c:9]:1)>>([CH3;D1;+0:10]-[n+;H0;D3:6]1:[c:5]:[c:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1]):[c:9]:[c:8]:[c:7]:1)	1.5	chemblRule42
([N;D1;H2:3]-[C:2](=[O;D1;H0:1])-[c:4]1:[c:5]:[n;H0;D2;+0:6]:[c:7]:[c:8]:[c:9]:1)>>([N;D1;H2:3]-[C:2](=[O;D1;H0:1])-[c:4]1:[c:5]:[n+;H0;D3:6](-[O-;H0;D1:10]):[c:7]:[c:8]:[c:9]:1)	1.5	chemblRule43
([C;D1;H3:10]-[n+;H0;D3:8]1:[c:9]:[c:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1]):[c:5]:[c:6]:[cH;D2;+0:7]:1)>>([C;D1;H3:10]-[n;H0;D3;+0:8]1:[c:9]:[c:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1]):[c:5]:[c:6]:[c;H0;D3;+0:7]:1=[O;H0;D1;+0:11])	1.5	chemblRule44
([C;D1;H3:10]-[n+;H0;D3:8]1:[c:7]:[c:6]:[cH;D2;+0:5]:[c:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1]):[c:9]:1)>>([C;D1;H3:10]-[n;H0;D3;+0:8]1:[c:7]:[c:6]:[c;H0;D3;+0:5](=[O;H0;D1;+0:11]):[c:4](-[C:2](-[N;D1;H2:3])=[O;D1;H0:1]):[c:9]:1)	1.5	chemblRule45
([C:14]-[C:12](=[O;D1;H0:13])-[C:11](-[c:17])-[#7:8]1-[C:7]-[c;H0;D3;+0:5]2:[cH;D2;+0:6]:[c;H0;D3;+0:2](-[O;H0;D2;+0:1]-[C;H0;D3;+0:25](-[CH3;D1;+0:26])=[O;H0;D1;+0:24]):[s;H0;D2;+0:3]:[c;H0;D3;+0:4]:2-[C:10]-[C:9]-1)>>([C:14]-[C:12](=[O;D1;H0:13])-[C:11](-[c:17])-[#7:8]1-[C:7]-[C;H0;D3;+0:5]2=[CH;D2;+0:6]-[C;H0;D3;+0:2](=[O;H0;D1;+0:1])-[S;H0;D2;+0:3]-[CH;D3;+0:4]-2-[C:10]-[C:9]-1)	1.5	chemblRule46
([O;D1;H0:13]=[C:12]-[C:11]-[#7:8]1-[C:7]-[C:5]2=[C:6]-[C:2](=[O;D1;H0:1])-[S;H0;D2;+0:3]-[C:4]-2-[C:10]-[C:9]-1)>>([O-;H0;D1:24]-[S+;H0;D3:3]1-[C:2](=[O;D1;H0:1])-[C:6]=[C:5]2-[C:7]-[#7:8](-[C:11]-[C:12]=[O;D1;H0:13])-[C:9]-[C:10]-[C:4]-2-1)	1.5	chemblRule47
([O-;H0;D1:11]-[S+;H0;D3:10]1-[C:9]2-[C:8]-[C:7]-[#7:6](-[C:12]-[C:13]=[O;D1;H0:14])-[C:5]-[C:4]-2=[C:3]-[C;H0;D3;+0:2]-1=[O;D1;H0:1])>>([O;D1;H0:14]=[C:13]-[C:12]-[#7:6]1-[C:5]/[C:4](=[C:3]/[C;H0;D3;+0:2](=[O;D1;H0:1])-[OH;D1;+0:25])-[C:9](-[S;H0;D2;+0:10]-[OH;D1;+0:11])-[C:8]-[C:7]-1)	1.5	chemblRule48
([C;D1;H3:31]-[C:23]1-[#8:24]-[C:25](=[O;D1;H0:26])-[C:27]2-[C:28]-[C:29]3-[C:30]-[C@H;D3;+0:2](-[NH;D2;+0:1]-[C;H0;D3;+0:33](=[O;H0;D1;+0:32])-[O;H0;D2;+0:34]-[CH2;D2;+0:35]-[CH3;D1;+0:36])-[C:3]-[C:4]-[C:5]-3-[C@H;D3;+0:6](/[C:7]=[C:8]/[c:9](:[#7;a:10]:[c:11]):[c:14]:[c:13])-[C@H;D3;+0:22]-1-2)>>([C;D1;H3:31]-[C:23]1-[#8:24]-[C:25](=[O;D1;H0:26])-[C:27]2-[C:28]-[C:29]3-[C:30]-[C@H;D3;+0:2](-[NH2;D1;+0:1])-[C:3]-[C:4]-[C:5]-3-[C@H;D3;+0:6](/[C:7]=[C:8]/[c:9](:[#7;a:10]:[c:11]):[c:14]:[c:13])-[C@H;D3;+0:22]-1-2)	1.5	chemblRule49
([C;D1;H3:31]-[C:23]1-[#8:24]-[C:25](=[O;D1;H0:26])-[C:27]2-[C:28]-[C:29]3-[C:30]-[C@H;D3;+0:2](-[NH;D2;+0:1]-[C;H0;D3;+0:33](=[O;H0;D1;+0:32])-[O;H0;D2;+0:34]-[CH2;D2;+0:35]-[CH2;D2;+0:36]-[OH;D1;+0:37])-[C:3]-[C:4]-[C:5]-3-[C@H;D3;+0:6](/[C:7]=[C:8]/[c:9](:[#7;a:10]:[c:11]):[c:14]:[c:13])-[C@H;D3;+0:22]-1-2)>>([C;D1;H3:31]-[C:23]1-[#8:24]-[C:25](=[O;D1;H0:26])-[C:27]2-[C:28]-[C:29]3-[C:30]-[C@H;D3;+0:2](-[NH2;D1;+0:1])-[C:3]-[C:4]-[C:5]-3-[C@H;D3;+0:6](/[C:7]=[C:8]/[c:9](:[#7;a:10]:[c:11]):[c:14]:[c:13])-[C@H;D3;+0:22]-1-2)	1.5	chemblRule51
([#7:6]-[C:2](=[O;D1;H0:1])-[#8:3]-[C:4]-[CH3;D1;+0:5].[#7;a:15]:[c:14]/[C:13]=[C:12]/[C:11](-[C:10])-[C:27]1-[C:32](-[C:33])-[C:30](=[O;D1;H0:31])-[#8:29]-[C@@H;D3;+0:28]-1-[C;D1;H3:36])>>([#7:6]-[C:2](=[O;D1;H0:1])-[#8:3]-[C:4]-[CH2;D2;+0:5]-[OH;D1;+0:37].[#7;a:15]:[c:14]/[C:13]=[C:12]/[C:11](-[C:10])-[C:27]1-[C:32](-[C:33])-[C:30](=[O;D1;H0:31])-[#8:29]-[C@@H;D3;+0:28]-1-[C;D1;H3:36])	1.5	chemblRule52
